"target";"v2a1";"hacdor";"rooms";"hacapo";"v14a";"refrig";"v18q1";"r4h1";"r4h2";"r4m1";"r4m2";"escolari";"pared1";"pared2";"pared3";"pared4";"pared5";"pared6";"pared7";"piso1";"piso2";"piso3";"techo1";"techo2";"cielorazo";"water";"electro1";"electro2";"electro3";"sanitario1";"sanitario2";"sanitario3";"energcocinar1";"energcocinar2";"energcocinar3";"elimbasu1";"elimbasu2";"elimbasu3";"epared1";"epared2";"etecho1";"etecho2";"eviv1";"eviv2";"dis";"female";"estadocivil1";"estadocivil2";"estadocivil3";"estadocivil4";"estadocivil5";"estadocivil6";"parentesco1";"parentesco2";"parentesco3";"parentesco4";"parentesco5";"parentesco6";"parentesco7";"parentesco8";"parentesco9";"parentesco10";"parentesco11";"hogar_nin";"hogar_adul";"hogar_mayor";"meaneduc";"instlevel1";"instlevel2";"instlevel3";"instlevel4";"instlevel5";"instlevel6";"instlevel7";"instlevel8";"bedrooms";"overcrowding";"tipovivi1";"tipovivi2";"tipovivi3";"tipovivi4";"computer";"television";"qmobilephone";"lugar1";"lugar2";"lugar3";"lugar4";"lugar5";"rural";"age"
0;0;0;4;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3,5;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;3;1;0;0;0;0;1;43
0;0;0;8;0;1;1;1;0;1;0;2;10;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;19;0;0;0;1;0;0;0;0;5;0,60000002;1;0;0;0;0;0;3;0;0;0;0;0;1;18
0;0;0;5;0;1;1;0;0;2;0;1;6;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;8,333333;0;0;1;0;0;0;0;0;3;1;1;0;0;0;0;1;2;0;0;1;0;0;0;62
1;0;0;8;0;1;1;2;0;2;0;2;13;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;1;12;0;0;0;0;0;0;0;1;4;1;1;0;0;0;1;1;4;1;0;0;0;0;0;20
0;350000;0;5;0;1;1;3;1;1;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;17;1;0;0;0;0;0;0;0;3;1,3333334;0;1;0;0;1;0;3;1;0;0;0;0;0;3
1;0;0;5;0;1;1;0;1;0;0;5;11;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;4;0;10;0;0;0;0;1;0;0;0;3;2;1;0;0;0;0;0;5;1;0;0;0;0;0;25
0;0;0;6;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;7,5;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;2;1;0;0;0;0;1;2
0;245000;0;4;0;1;1;2;2;1;0;1;2;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;15;0;1;0;0;0;0;0;0;3;1,3333334;0;0;1;0;0;0;2;1;0;0;0;0;0;8
0;0;0;4;0;1;1;1;0;1;0;2;7;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;6,3333335;0;0;0;1;0;0;0;0;2;1,5;1;0;0;0;0;1;2;1;0;0;0;0;0;34
1;85000;0;4;0;1;1;0;3;1;0;1;4;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;9,5;0;1;0;0;0;0;0;0;2;2,5;0;0;1;0;0;0;4;0;0;0;0;1;0;11
1;0;0;5;0;1;1;0;0;2;0;1;5;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;2,6666667;0;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;1;1;0;0;0;0;0;60
1;0;0;5;0;1;1;1;0;1;1;1;11;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;11;0;0;0;0;1;0;0;0;3;1,6666666;1;0;0;0;0;0;3;1;0;0;0;0;0;30
0;150000;0;5;0;1;1;0;1;1;0;4;6;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;11,333333;0;0;1;0;0;0;0;0;3;2;0;0;1;0;0;1;3;0;1;0;0;0;0;49
1;0;0;5;0;1;1;0;1;0;0;1;11;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;11;0;0;0;0;1;0;0;0;3;0,66666669;1;0;0;0;0;1;1;0;0;1;0;0;0;46
1;0;0;4;0;1;1;0;0;2;0;1;6;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;6;0;0;1;0;0;0;0;0;2;1,5;1;0;0;0;0;1;3;0;0;0;0;1;0;17
1;1e+05;0;6;0;1;1;1;0;0;3;2;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;11;0;1;0;0;0;0;0;0;3;1,6666666;0;0;1;0;0;0;2;0;0;0;1;0;0;8
